word,translation
3356,"a. 永久的, 持久的, 不变的"
3413,"n. 能力, 才干\n[经] 能力, 才能"
3470,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的"
3484,"vt. 发誓断绝, 公开放弃\n[法] 誓绝, 弃绝, 公开放弃"
3531,"a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀"
3532,"a. 能干的, 能够的"
3566,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净"
3584,"vt. 放弃, 舍弃, 克制(欲望)"
3588,"n. 放弃, 舍弃, 克制"
3598,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人"
3648,"n. 反常, 畸形, 变态\n[化] 反常"
3663,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上"
3679,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤"
3687,"n. 废除, 废奴运动\n[医] 禁止, 消失"
3691,"n. 废除主义者, 废奴主义者"
3707,"vt. 厌恶, 憎恶"
3728,"a. 原始的, 土著的\nn. 土著居民, 土生生物"
3737,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止"
3762,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产"
3774,"a. 流产的, 堕胎的, 失败的\n[医] 流产的"
3801,"vi. 大量存在, 富于, 充满"
3811,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围"
3833,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的"
3877,"adv. 光明正大地, 率直地\na. 光明正大的, 率直的"
3900,"vt. 擦伤, 磨损, 磨\n[医] 擦除, 擦破"
3910,n. 亚伯拉罕（男子名）
3960,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗"
3982,n. 研磨料\na. 有研磨作用的
4043,"adv. 并肩地, 并列地"
4058,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺"
4084,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的"
4088,"vt. 废除, 取消\n[经] 取消, 废除, 不生效(的法令)"
4117,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
4125,"adv. 突然地, 唐突地"
4138,"[计] 绝对, 美国标准局"
4174,"n. 切断, 除去\n[医] 切除"
4178,"vi. 潜逃, 逃匿\n[经] (为躲避罪责,债务等)潜逃"
4206,"n. 缺席, 缺乏, 没有\n[医] 失神"
4222,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席"
4239,"n. 缺席者, 不在者\n[经] 缺勤者, 缺席者, 未到工者"
4248,"n. 经常无故缺席, 旷职, 旷工, 旷课\n[经] 有计划的怠工, 旷工"
4286,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物"
4533,"adv. 完全地, 绝对地, 确确实实地"
4556,"vt. 宣告...无罪, 赦免, 免除\n[经] 免偿(债务), 解除"
4569,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收"
4634,"a. 吸引人的, 非常有趣的\n[机] 吸收的"
4659,"n. 吸收, 专心, 全神贯注\n[化] 吸收"
4792,"vi. 自制, 戒绝, 弃权, 回避"
4803,"a. 有节制的, 节约的"
4806,"n. 戒绝, 回避, 弃权"
4812,a. 有节制的
4818,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)"
4825,"a. 有节制的, 禁欲的\nn. 禁欲者"
4830,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录"
4894,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取"
4917,"a. 难解的, 深奥的"
4923,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞"
4943,abbr. 亚洲广播联盟（Asian Broadcast Union）
4977,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕"
4981,"a. 丰富的, 充分的, 大量的"
4986,"adv. 大量地, 丰富地"
4994,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待"
5018,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的"
5023,"v. 邻接, 毗邻"
5069,"a. 深不可测的, 无底的"
5072,"n. 深渊, 深邃, 地狱"
5090,"公元前\n[计] 存取周期, 累加器, 声耦合器, 交流, 应用控制, 自动检查, 自动计算机"
5159,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员"
5193,adv. 学术上；学业上
5195,"n. 学会会员, 院士, 学究, 大学生, 学者"
5205,"n. 学院, 院校, 学会"
5400,"a. [植]不结果的,无果实的"
5464,"vi. 同意, 正式加入, 就任, 继任"
5479,"v. 加速, 促进"
5480,a. 加快的\n[医] 加速的
5526,[计] 加速
5549,"n. 加速, 促进, 加速度\n[化] 加速度"
5580,"n. 加速剂, 加速器, 油门\n[化] 加速器"
5630,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调"
5645,"vt. 以重音念, 强调, 重读"
5656,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意"
5682,"a. 可接受的, 合意的, 可忍受的"
5705,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收"
5787,"a. 公认的, 一般承认的\n[经] 已承兑, 已认付"
5831,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取"
5890,"a. 附属的, 附带的, 从犯的\nn. 附件, 同谋, 从犯"
5895,"n. 易接近, 可进入\n[化] 可及性"
5897,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
5907,"n. 到达, 即位, 增加, 同意, 发作, 正式接受\nvt. 登记入册"
5956,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件"
6043,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故"
6082,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面"
6120,"adv. 偶然地, 意外地"
6127,n. 意外事故；事故（accident的复数）
6146,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞"
6147,v. 欢呼（acclaim的过去式及过去分词）\na. 受到赞扬的
6157,"vt. 使适应, 使服水土\nvi. 服水土, 适应新环境"
6189,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
6198,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应"
6206,"a. 与人方便的, 肯通融的"
6210,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼)"
6238,"n. 膳宿；住房, 住宿；居住设施（accommodation的复数）"
6259,"n. 伴随物, 附加物, 伴奏"
6263,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱"
6268,"a. 随同的, 附见的"
6274,"n. 共犯, 同谋\n[医] 协同菌"
6278,"vt. 完成, 达到, 实现, 使完美"
6282,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
6290,"n. 成就, 完成"
6297,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合"
6304,"n. 一致, 和谐"
6314,"a. 相符的, 根据...而定的\nadv. 相应地"
6316,"根据, 按照；取决于；据…所说"
6330,"adv. 相应地, 因此, 于是"
6331,n. 手风琴\na. 可折叠的
6344,"vt. 招呼, 搭讪, 勾引\n[法] 勾引, 引诱"
6356,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号"
6376,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
6453,"n. 负有责任, 可说明性\n[化] 衡算计量"
6456,"a. 负有责任的, 可说明的, 可解释的\n[经] 负有责任的"
6464,"n. 会计工作, 会计学\n[经] 会计工作, 会计学术, 会计职业"
6467,"n. 会计人员, 会计师\n[经] 会计师, 会计人员"
6482,会计人员
6488,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐"
6713,"vt. 信托, 确认, 归结于, 委派\n[经] 发行信用证, 信托, 委托"
6736,"vi. 连生, 合生, 附依\nvt. 使依附, 使连接\na. 合生的"
6741,"n. 自然增大, 添加, 添加物, 连生\n[化] 停滞堆积"
6775,"vi. 自然增加, 产生\n[经] 应计, 产生, 出现"
6851,"v. 积聚, 堆积"
6890,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积"
6965,"n. 精确, 正确\n[计] 准确度"
6981,"a. 正确的, 精确的\n[经] 准确的, 精确的"
6985,"adv. 正确地, 精确地"
7002,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发"
7014,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告"
7021,n. 被告
7024,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者"
7031,vt. 使习惯于
7034,"a. 惯常的, 习惯了的"
7046,"n. 幺点, 好手, 少许, 发球得分\na. 一流的, 杰出的\n[计] 应答允许, 自适应计算机试验, 自动呼叫设备, 自动执行控制"
7192,"a. 酸的, 尖刻的"
7196,"n. 涩, 酸, 尖刻\n[化] 涩度"
7962,"n. 疼痛\nvi. 痛, 哀怜, 渴望"
8004,"vt. 完成, 达到\nvi. 如愿以偿"
8014,"n. 完成, 成就, 功业"
8021,n. 获得成功的人
8158,"a. 无色的, 不分光的, 消色差的, 非染色质的\n[化] 消色差的"
8283,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序"
8548,酸雨
8768,"a. 成酸的, 尖刻的, 酸性的\n[机] 酸性"
8812,n. 酸性\n[化] 酸度
9013,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知"
9026,"n. 承认, 确认, 感谢, 收到的通知\n[计] 确认"
9040,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可"
9085,"n. 顶点, 极度, 最高点\n[医] 极期"
9098,"n. 痤疮, 粉刺\n[医] 痤疮, 粉刺"
9206,"n. 侍僧, 助手"
9274,"n. 橡树果实\n[机] 浆栎, 浆栎果"
9327,"a. 听觉的, 声学的, 音响的\n[医] 听的"
9449,"a. 听觉的, 声学的"
9520,"vt. 使认识, 介绍"
9523,"n. 认识, 相识者"
9530,a. 知晓的；有知识的；熟识的
9538,"vi. 默许, 默然同意"
9547,"vt. 获得, 学到\n[电] 目标锁定"
9551,"a. 获得的, 后天的\n[医] 获得的, 后天的"
9593,"n. 获得, 获得物\n[经] 收购, 招揽, 取得"
9614,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的"
9622,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免"
9633,"n. 履行, 无罪开释\n[经] (债务的)清偿"
9683,n. 英亩
9714,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的\n[医] 辛辣的"
9746,"a. 尖刻的, 讥讽的, 激烈的"
9749,"n. 严厉, 尖刻\n[医] 辛辣"
9785,"n. 表演特技者, 杂技演员"
9943,"n. 首字母缩拼词, 首字母组合词\n[计] 字首组合词"
9964,n. 恐高症\n[医] 高处恐怖
9991,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字"
10057,a. 丙烯酸的\n[医] 丙烯酸的
10112,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术"
10287,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的"
10561,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式"
10707,n. 动作；行动（action的复数）
10723,"vt. 使活动, 使激活, 正式建成\nvi. 有活力"
10779,"n. 活化, 激活\n[化] 活化"
10812,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子"
11037,"adv. 活跃地, 积极地"
11045,"n. 激进主义, 行动主义, 能动论\n[法] 激进主义, 行动主义"
11046,n. 激进主义分子
11049,n. （activity复数形式）活动；活动区；活动性
11052,"n. 活动, 行动, 活跃, 活力\n[计] 活动"
11120,"n. 男演员, 行动者\n[医] 作用物, 反应物"
11135,n. 女演员
11145,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率"
11347,"n. 事实, 现实, 现状"
11353,"adv. 事实上, 竟然, 如今, 现在"
11359,"a. 保险计算员的, 保险计算的\n[经] 保险公司计算员的, 保险统计"
11374,"vt. 开动, 驱使, 激励"
11418,"n. 尖锐, (疾病的)剧烈, 敏锐\n[化] 锐度"
11430,"n. 敏锐, 聪明"
11448,"n. 针刺, 针刺疗法\nvt. 施以针灸"
11464,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的"
11615,"adv. 尖锐地, 剧烈地"
11734,"n. 广告\n[计] 地址, 模拟-数字"
11763,"特别地\n[经] 特定, 专设, 临时"
11874,"n. 格言, 谚语"
11898,n. 亚当\n[计] 自动直接存取管理
11914,"n. 坚硬的东西\na. 非常坚硬的, 坚强的, 固执的"
11962,[计] 先进数据管理系统
12002,"vt. 使适应, 改编\nvi. 适应"
12008,"a. 能适应的, 适合的, 可修改的"
12011,"n. 适应, 改编, 改编本\n[医] 适应[作用]"
12048,"a. 适应的, 能适应的"
12144,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法"
12244,a. 额外的；更多的
12262,"n. 补遗, 附加物\n[化] 附加物"
12290,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者"
12293,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于"
12299,"n. 入迷, 瘾\n[医] 瘾, 癖嗜"
12302,a. 上瘾的
12354,"n. 加法, 增加的人(或物)\n[计] 加法"
12387,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的"
12476,"adv. 另外, 此外"
12483,"a. 添加的, 附加的, 加法的, 累积的\nn. 添加物"
12525,"vt. 使昏乱, 使腐坏\nvi. 变质\na. 昏乱的, 腐坏的"
12543,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址"
12676,"vt. 引证, 举出\n[法] 援引, 引证, 提出"
13058,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行"
13071,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的"
13089,"adv. 足够地, 适当地"
13135,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附"
13140,"n. 依附, 固执, 坚持\n[化] 粘合"
13145,"n. 信徒, 追随者\na. 附着的, 发生联系的"
13196,"a. 粘着的, 涂有粘性物质的\nn. 粘合剂, 橡皮膏"
13520,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的"
13575,"n. 形容词\na. 形容词的, 从属的"
13585,"v. 邻接, 毗连"
13589,"a. 邻接的, 毗连的\n[机] 联接"
13601,"vi. 休会, 换地方\nvt. 使中止, 推迟"
13635,"v. 判决, 宣告, 裁定"
13667,"n. 附属物, 附件, 助手, 修饰语\na. 附属的"
13688,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应"
13700,a. 可调节的\n[电] 可调整的
13840,"n. 调整, 调节, 校正\n[化] 调节"
13921,"v. 临时穿插, 信口说出, 即兴讲演\n[计] 状态说明设计语言"
13966,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助"
13994,"vt. 管理, 支配"
13998,"n. 行政, 管理, 政府机关\n[化] 给药"
14027,"a. 管理的, 行政的\n[法] 行政的, 管理的, 遗产管理的"
14124,"n. 管理人, 行政官\n[经] 遗产管理人员"
14142,"a. 可钦佩的, 极好的, 令人惊奇的"
14145,"n. 舰队司令, 海军上将, 旗舰"
14181,"n. 赞赏, 钦佩, 引人赞赏的对象"
14184,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇"
14187,"n. 钦佩者, 仰慕者, 求爱者"
14217,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股"
14252,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认"
14275,"adv. 公认地, 诚然"
14292,"vt. 警告, 劝告, 训诫, 告诫"
14341,n. 风干土坯\n[化] 风干砖
14357,"n. 青春期\n[医] 青年期, 青春期"
14360,"a. 青春期的, 青少年的\nn. 青少年"
14411,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取"
14435,"n. 采用, 采纳, 收养\n[法] 收养, 采纳, 采用"
14468,"a. 可崇拜的, 值得敬慕的, 可爱的"
14478,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕"
14489,"vt. 装饰, 使生色"
14497,"n. 装饰, 装饰品"
14573,n. 肾上腺素\n[化] 肾上腺素
14670,n. 艾德里安（男子名）；艾德里安市（美国密歇根州东南部城市）
14688,"adv. 漂流地, 漂浮着, 随波逐流地\na. 漂浮着的"
14695,"a. 灵巧的, 敏捷的, 聪明的"
14852,"vt. 谄媚, 过分称赞"
14860,"n. 成人, 成虫\na. 成年的, 成熟的"
14892,"vt. 掺杂\na. 掺假的, 假的, 通奸的"
14901,"n. 掺杂, 掺假的东西\n[化] 掺杂"
14911,n. 通奸\n[法] 通奸
14913,n. 成年\n[医] 成人期
14921,n. 成年人（adult的复数形式）
14925,"vt. 画...的轮廓, 预示"
14954,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的"
15023,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的"
15097,"n. 前进, 进步, 提升\n[医] 徙前术"
15121,[计] 导前\n[医] 进行的
15131,"n. 优点, 便利, 好处, 优势\nvt. 有助于"
15134,"a. 有利的, 有益的"
15137,n. 优势；特点；有利；[经] 利益（advantage的复数）\nv. 促进（advantage的三单形式）；有利于
15146,"n. 来到, 来临"
15158,"a. 偶然的, 外来的\n[医] 偶生的, 偶发的"
15173,"n. 冒险, 冒险经历\nv. 冒险"
15185,"n. 冒险家, 投机者\n[法] 冒险者, 投机者"
15197,"a. 喜欢冒险的, 有进取心的, 危险的"
15201,n. 副词
15215,"n. 敌手, 对手\na. 敌手的, 敌对的"
15222,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的"
15242,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
15248,"n. 逆境, 不幸, 灾祸, 灾难"
15252,"vi. 提出看法, 引起注意, 留意\nn. 广告"
15261,"vt. 做广告, 通知, 公布\nvi. 做广告"
15268,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示"
15273,n. [经] 广告（advertisement的复数）；宣传
15274,"n. 做广告者, 广告客户\n[经] 广告商, 广告者"
15277,"n. 广告业, 广告\na. 广告的\n[计] 发广告"
15317,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议"
15350,"a. 适当的, 明智的"
15353,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量"
15368,"n. 顾问, 劝告者, 指导教师\n[法] 顾问, 劝告者"
15377,"n. 顾问, 劝告者, 指导教师"
15380,"a. 顾问的, 咨询的, 劝告的\n[法] 劝告的, 忠告的, 咨询的"
15398,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术\n[法] 辩护, 拥护, 提倡"
15402,"n. 提倡者, 拥护者\nvt. 主张, 提倡"
15449,abbr. 原子能法（Atomic Energy Authority）；演员协会（Actors ' Equity Association）；美国经济协会（American Economic Association）；成人教育协会（Adult Education Association）；美国教育协会（American Education Association）
15572,"n. 羊皮盾, 保护, 庇护, 赞助, 支持\n[法] 庇护, 保护"
15682,"vt. 使暴露于空气中, 使充满气体\n[化] 曝气"
15729,"a. 空中的, 航空的, 空气的, 空想的\nn. 天线"
15872,"a. 需氧的, 需氧菌产生的, 增氧健身法的\n[医] 需氧的"
15887,n. 有氧运动法；增氧健身法
15977,n. 空气动力学\n[化] 空气动力学
16122,"n. 航空学, 飞行术\n[机] 航空学"
16167,n. 飞机\n[机] 飞机
16215,"n. 烟, 雾\n[化] 气溶胶"
16239,"n. 航天空间, 航天技术"
16384,"n. 审美家, 唯美主义者"
16386,"a. 美学的, 审美的, 有美感的"
16388,"a. 美学的, 艺术的, 美的, 审美的"
16398,n. 美学
16552,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
16555,"n. 事件, 事务, 恋爱事件"
16559,"n. 事务, 事宜；风流韵事"
16563,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情"
16569,"n. 假装, 做作, 矫情\n[医] 矫饰, 矫情"
16571,"a. 假装的, 做作的, 受影响的"
16581,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病"
16584,"a. 深情的, 充满情爱的"
16591,"a. 情感的, 表达感情的\n[医] 感情的, 情感的"
16640,"n. 宣誓书, 书面陈述\n[经] 宣誓, 声明"
16655,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加"
16670,"n. 联系, 从属关系\n[医] 父权(判定私生儿的父亲)"
16692,"n. 吸引, 姻亲关系, 类同\n[化] 亲合力"
16715,"v. 断言, 确认"
16725,"n. 肯定, 断言, 证实\n[医] 肯定, 确认"
16727,"a. 肯定的, 赞成的, 积极的\nn. 肯定语"
16729,"肯定行动, 平权行动"
16747,"vt. 使附于, 署名, 粘贴, 盖印于\nn. 附加物, 词缀"
16767,"vt. 使苦恼, 折磨"
16772,"n. 苦恼, 折磨, 苦恼的事由"
16779,"n. 富裕, 丰富, 流注\n[医] 丰富, 流入"
16781,"a. 丰富的, 富裕的\nn. 支流, 富人"
16794,"vt. 买得起, 足以, 给予"
16800,[计] 普及型
16842,"n. 公开侮辱, 轻蔑\nvt. 公开侮辱, 冒犯, 面对"
16864,n. 阿富汗
16877,"adv. 离开着, 偏离着, 在战场上"
16907,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的\nadv. 飘浮着, 在海上, 浸满水, 在进行中"
16923,"a. 徒步的, 在进行中的, 活动中的\nadv. 徒步, 在进行中"
16929,"a. 上述的, 前述的\n[法] 前面提到过的, 前述的"
16949,"a. 害怕的, 恐怕的, 遗憾的"
16962,n. 非洲
16966,"n. 非洲人\na. 非洲的, 非洲人的"
17054,n. Afros 非洲式发型
17063,加勒比黑人的
17099,"adv. 在船尾\n[计] 现用文件表, 自动存款取款"
17109,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来"
17233,a. 业余的
17266,a. 课外的
17365,"n. 结果, 后果\n[法] 后果, 结果"
17370,"n. 午后, 下午"
17417,"adv. 然后, 后来"
17418,"adv. 然后, 后来"
17460,"adv. 再一次, 又, 到原处"
17466,"prep. 反对, 对着, 倚靠"
17559,"a. 张口发呆的, 目瞪口呆的\nadv. 张口发呆地, 目瞪口呆地"
17693,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟"
17705,同年龄范围内的人
17712,"合法年龄；承诺年龄（指可以结婚或进行性行为, 而不触犯法律的最低年龄）"
17745,a. 古老的
17755,"a. 老的, 陈的, 有...岁的\n[化] 老化的"
17766,"n. 变老, 成熟\n[化] 老化"
17802,n. 代理；代理处（agency的复数）
17803,"n. 代理机构, 经销商, 中介\n[化] 办事处"
17832,"pl. 议程, 日常工作事项\n[计] 待议事件"
17862,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序"
17948,"n. 大团, 大块\na. 成块的, 聚结的\nvt. 使成团, 使成块, 使聚结\nvi. 成团, 成块, 聚结"
18014,"vt. 增加, 夸大"
18023,"vt. 使恶化, 使更严重, 加重"
18036,"a. 使恶化的, 加重的, 恼人的"
18049,"n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体"
18097,"n. 集合, 聚合, 集合体\n[化] 聚集"
18132,"n. 侵犯, 侵略\n[医] 攻击"
18134,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的"
18141,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
18142,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
18144,"n. 侵略者, 挑畔者\n[法] 侵略者, 攻击者"
18150,"vt. 使委屈, 使悲痛, 侵害\n[法] 侵害, 使悲痛, 使委屈"
18151,"a. 受委屈的, 权利受到不法侵害的"
18166,"a. 惊骇的, 吓呆的"
18171,"a. 敏捷的, 灵活的, 机敏的"
18177,"n. 敏捷, 灵活, 机敏"
18182,"n. 老化, 变陈\n[计] 老化, 陈化"
18222,"vt. 使摇动, 搅动, 使激动, 使不安\nvi. 鼓动, 煽动"
18224,"a. (表现出)不安/焦虑的, (被)激烈辩论的, (被)热烈讨论的, 颤抖的\n[医] 激越的"
18244,"n. 激动, 焦虑, 煽动, 搅动, 摇动\n[化] 搅拌"
18317,"a. 发光的, 通红的\nadv. 发光地"
18332,abbr. 空对地导弹（Air-to-Ground Missile）；美国音乐家协会（American Guild of Musicians）
18368,n. 艾格尼丝（女子名）
18397,n. 不可知论者
18409,adv. 以前
